Transaction Number,Business Date,PLU/Barcode,Item,Quantity,Amount incl GST,Tax Amount,Tax Name,Tax Rate,Sales Type,Shift,Employee,Tender,Transaction Time,
"248779,""01/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""78802"",""Employee, 1"",""Cash PLN,Cash PLN"",""01/06/2022 08:47:22 AM"","
"248790,""01/06/2022"",""2000013625380"",""PRODUCT 2"",""1"",""107.96"",""20.19"",""VAT 23%"",""23.00%"",""Regular Sales"",""78902"",""Employee, 5"",""Fleet card"",""01/06/2022 09:08:25 AM"","
"248821,""01/06/2022"",""2000033113980"",""BAQUETTE COUNTRY"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""78902"",""Employee, 5"",""Cash PLN"",""01/06/2022 12:04:19 PM"","
"248832,""01/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""78902"",""Employee, 5"",""Card"",""01/06/2022 12:33:48 PM"","
"248845,""01/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""78902"",""Employee, 5"",""Card"",""01/06/2022 01:08:29 PM"","
"248848,""01/06/2022"",""2000050110108"",""PRODUCT 5"",""1"",""29.99"",""5.61"",""VAT 23%"",""23.00%"",""Regular Sales"",""78902"",""Employee, 5"",""Fleet card"",""01/06/2022 01:20:21 PM"","
"248855,""01/06/2022"",""0000001429599"",""BAQUETTE SHRIMP"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""78902"",""Employee, 5"",""Card"",""01/06/2022 01:31:15 PM"","
"248855,""01/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""78902"",""Employee, 5"",""Card"",""01/06/2022 01:31:15 PM"","
"248855,""01/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""78902"",""Employee, 5"",""Card"",""01/06/2022 01:31:15 PM"","
"248886,""01/06/2022"",""0000001357048"",""BURGER VEGE"",""1"",""5.46"",""0.40"",""VAT 8%"",""8.00%"",""Regular Sales"",""79002"",""Employee, 7"",""Card"",""01/06/2022 02:59:59 PM"","
"248886,""01/06/2022"",""0000001367965"",""BURGER RUMP STEAK"",""1"",""5.46"",""0.40"",""VAT 8%"",""8.00%"",""Regular Sales"",""79002"",""Employee, 7"",""Card"",""01/06/2022 02:59:59 PM"","
